2026-08-31 11:03:23.498 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=1 总题=1 答对=1
2026-08-31 11:03:40.089 | INFO    | logging:callHandlers:1737 | HTTP Request: POST https://api.siliconflow.cn/v1/chat/completions "HTTP/1.1 200 OK"
2026-08-31 11:03:52.312 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=1 总题=2 答对=1
2026-08-31 11:07:51.496 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=0 答对=0
2026-08-31 11:08:03.996 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=1 总题=2 答对=1
2026-08-31 11:13:44.422 | INFO    | logging:callHandlers:1737 | 讲师会话已清空 script_id=2
2026-08-31 11:13:49.455 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=4 答对=1
2026-08-31 11:14:01.643 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=4 答对=1
2026-08-31 11:19:08.278 | INFO    | logging:callHandlers:1737 | 讲师会话已清空 script_id=2
2026-08-31 11:19:08.796 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=4 答对=1
2026-08-31 11:29:41.851 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=4 答对=1
2026-08-31 11:39:34.257 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=5 答对=1
2026-08-31 11:42:48.505 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=1 总题=3 答对=1
2026-08-31 11:43:56.549 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=5 答对=1
2026-08-31 11:45:59.730 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=5 答对=1
2026-08-31 11:46:07.352 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=6 答对=1
2026-08-31 11:46:14.259 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=6 答对=1
2026-08-31 11:46:33.516 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=8 答对=2
2026-08-31 11:46:42.819 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=8 答对=2
2026-08-31 12:05:52.921 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=8 答对=2
2026-08-31 12:06:20.686 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=10 答对=3
2026-08-31 23:32:57.031 | INFO    | logging:callHandlers:1737 | 学习报告 script_id=2 总题=12 答对=4
2026-08-31 23:33:24.972 | INFO    | logging:callHandlers:1737 | 讲师会话已清空 script_id=2
